Bloco;Unidade;Tipo;Mˆs;Data Leitura;Leitura Anterior;Leitura Atual;Consumo;Custo;Custo Adicional;Total;Houve Troca de Medidor?;Validade Medidor;Observa‡Æo;Imagem
A;201;µgua;02/2026;29/01/2026;233,613;236,852;3,239;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943223/photo-6927dcf4.jpg
A;202;µgua;02/2026;29/01/2026;1,98;1,983;0,003;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943226/photo-b3f458ff.jpg
A;203;µgua;02/2026;29/01/2026;157,821;162,47;4,649;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943229/photo-cbcd89b5.jpg
A;204;µgua;02/2026;29/01/2026;232,172;236,972;4,8;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943232/photo-d4775f16.jpg
A;205;µgua;02/2026;29/01/2026;177,7;182,53;4,83;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943235/photo-b0cee736.jpg
A;206;µgua;02/2026;29/01/2026;273,298;289,535;16,237;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943238/photo-1042bacb.jpg
A;207;µgua;02/2026;29/01/2026;165,826;168,679;2,853;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943241/photo-b3427ee5.jpg
A;208;µgua;02/2026;29/01/2026;197,856;200,848;2,992;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943244/photo-efd8b2d2.jpg
A;209;µgua;02/2026;29/01/2026;351,459;357,879;6,42;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943247/photo-905ece9b.jpg
A;210;µgua;02/2026;29/01/2026;151,909;153,853;1,944;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943250/photo-4d40f2f8.jpg
A;211;µgua;02/2026;29/01/2026;41,409;53,342;11,933;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943253/photo-d550d61c.jpg
A;212;µgua;02/2026;29/01/2026;396,132;396,187;0,055;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943256/photo-42cc7104.jpg
A;301;µgua;02/2026;29/01/2026;185,508;189,207;3,699;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943259/photo-e7231add.jpg
A;302;µgua;02/2026;29/01/2026;293,254;303,534;10,28;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943262/photo-b555a147.jpg
A;303;µgua;02/2026;29/01/2026;256,171;262,608;6,437;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943265/photo-93e4f5a0.jpg
A;304;µgua;02/2026;29/01/2026;233,465;242,739;9,274;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943268/photo-58f8a22b.jpg
A;305;µgua;02/2026;29/01/2026;402,249;409,924;7,675;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943271/photo-d8c6222a.jpg
A;306;µgua;02/2026;29/01/2026;548,507;557,073;8,566;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943274/photo-df244ff0.jpg
A;307;µgua;02/2026;29/01/2026;132,875;132,912;0,037;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943277/photo-c8ee5d1c.jpg
A;308;µgua;02/2026;29/01/2026;262,377;265,96;3,583;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943280/photo-9b4f4648.jpg
A;309;µgua;02/2026;29/01/2026;145,209;153,715;8,506;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943283/photo-ac1eddf5.jpg
A;310;µgua;02/2026;29/01/2026;455,386;455,486;0,1;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943286/photo-8b8f30c2.jpg
A;311;µgua;02/2026;29/01/2026;192,159;195,432;3,273;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943289/photo-46d0f09f.jpg
A;312;µgua;02/2026;29/01/2026;166,595;170,637;4,042;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943292/photo-1677c685.jpg
A;401;µgua;02/2026;29/01/2026;112,676;118,343;5,667;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943295/photo-d84d4c70.jpg
A;402;µgua;02/2026;29/01/2026;353,323;360,688;7,365;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943298/photo-84818165.jpg
A;403;µgua;02/2026;29/01/2026;251,782;258,026;6,244;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943301/photo-ed910ae2.jpg
A;404;µgua;02/2026;29/01/2026;3,36;3,36;0;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943304/photo-6e12c944.jpg
A;405;µgua;02/2026;29/01/2026;229,706;234,053;4,347;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943307/photo-4221f25f.jpg
A;406;µgua;02/2026;29/01/2026;44,927;44,927;0;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943310/photo-0ec4b064.jpg
A;407;µgua;02/2026;29/01/2026;1,786;1,789;0,003;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943313/photo-94ee1a13.jpg
A;408;µgua;02/2026;29/01/2026;1,424;1,125;-0,299;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943316/photo-7135dc08.jpg
A;409;µgua;02/2026;29/01/2026;367,072;372,172;5,1;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943319/photo-53135c0b.jpg
A;410;µgua;02/2026;29/01/2026;376,007;376,008;0,001;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943322/photo-80bac0f0.jpg
A;411;µgua;02/2026;29/01/2026;204,751;214,087;9,336;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943325/photo-bb44e88c.jpg
A;412;µgua;02/2026;29/01/2026;6,961;6,762;-0,199;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943328/photo-d5d5acc2.jpg
A;501;µgua;02/2026;29/01/2026;137,326;137,383;0,057;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943331/photo-bafc8050.jpg
A;502;µgua;02/2026;29/01/2026;417,618;421,577;3,959;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943334/photo-75a60c24.jpg
A;503;µgua;02/2026;29/01/2026;163,635;175,441;11,806;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943337/photo-3b2723d8.jpg
A;504;µgua;02/2026;29/01/2026;48,786;50,057;1,271;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943340/photo-805ef7a1.jpg
A;505;µgua;02/2026;29/01/2026;528,662;541,797;13,135;0;0;0;NÆo;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943343/photo-692a26aa.jpg
