Bloco;Unidade;Tipo;Mˆs;Data Leitura;Leitura Anterior;Leitura Atual;Consumo;Custo;Custo Adicional;Total;Houve Troca de Medidor?;Validade Medidor;Observa‡Æo;Imagem
A;201;G s;02/2026;06/02/2026;1,552;1,552;0;0;0;0;NÆo;;;
A;202;G s;02/2026;06/02/2026;0,018;0,018;0;0;0;0;NÆo;;;
A;203;G s;02/2026;06/02/2026;66,652;66,652;0;0;0;0;NÆo;;;
A;204;G s;02/2026;06/02/2026;26,532;26,532;0;0;0;0;NÆo;;;
A;205;G s;02/2026;06/02/2026;35,09;35,09;0;0;0;0;NÆo;;;
A;206;G s;02/2026;06/02/2026;88,915;88,915;0;0;0;0;NÆo;;;
A;207;G s;02/2026;06/02/2026;24,869;24,869;0;0;0;0;NÆo;;;
A;208;G s;02/2026;06/02/2026;118,608;118,608;0;0;0;0;NÆo;;;
A;209;G s;02/2026;06/02/2026;134,255;134,255;0;0;0;0;NÆo;;;
A;210;G s;02/2026;06/02/2026;39,92;39,92;0;0;0;0;NÆo;;;
A;211;G s;02/2026;06/02/2026;296,539;296,539;0;0;0;0;NÆo;;;
A;212;G s;02/2026;06/02/2026;297,555;297,555;0;0;0;0;NÆo;;;
A;301;G s;02/2026;06/02/2026;49,244;49,244;0;0;0;0;NÆo;;;
A;302;G s;02/2026;06/02/2026;95,37;95,37;0;0;0;0;NÆo;;;
A;303;G s;02/2026;06/02/2026;186,318;186,318;0;0;0;0;NÆo;;;
A;304;G s;02/2026;06/02/2026;151,021;151,021;0;0;0;0;NÆo;;;
A;305;G s;02/2026;06/02/2026;182,443;182,443;0;0;0;0;NÆo;;;
A;306;G s;02/2026;06/02/2026;217,724;217,724;0;0;0;0;NÆo;;;
A;307;G s;02/2026;06/02/2026;26,323;26,323;0;0;0;0;NÆo;;;
A;308;G s;02/2026;06/02/2026;132,257;132,257;0;0;0;0;NÆo;;;
A;309;G s;02/2026;06/02/2026;49,637;49,637;0;0;0;0;NÆo;;;
A;310;G s;02/2026;06/02/2026;165,957;165,957;0;0;0;0;NÆo;;;
A;311;G s;02/2026;06/02/2026;38,277;38,277;0;0;0;0;NÆo;;;
A;312;G s;02/2026;06/02/2026;67,192;67,192;0;0;0;0;NÆo;;;
A;401;G s;02/2026;06/02/2026;9,513;9,513;0;0;0;0;NÆo;;;
A;402;G s;02/2026;06/02/2026;0,223;0,223;0;0;0;0;NÆo;;;
