Bloco;Unidade;Tipo;Mês;Data Leitura;Leitura Anterior;Leitura Atual;Consumo;Custo;Custo Adicional;Total;Houve Troca de Medidor?;Validade Medidor;Observação;Imagem
A;201;Água Quente;02/2026;29/01/2026;141,677;143,834;2,157;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943224/photo-f8ab30cb.jpg
A;202;Água Quente;02/2026;29/01/2026;0,697;0,697;0;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943227/photo-ed4d5c43.jpg
A;203;Água Quente;02/2026;29/01/2026;225,177;230,657;5,48;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943230/photo-04773573.jpg
A;204;Água Quente;02/2026;29/01/2026;244,062;250,186;6,124;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943233/photo-f0765566.jpg
A;205;Água Quente;02/2026;29/01/2026;78,221;80,912;2,691;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943236/photo-e89ce803.jpg
A;206;Água Quente;02/2026;29/01/2026;362,357;370,067;7,71;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943239/photo-320f7600.jpg
A;207;Água Quente;02/2026;29/01/2026;128,134;129,921;1,787;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943242/photo-665ddc99.jpg
A;208;Água Quente;02/2026;29/01/2026;59,867;60,532;0,665;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943245/photo-5d3d65d2.jpg
A;209;Água Quente;02/2026;29/01/2026;143,844;147,275;3,431;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943248/photo-69ed9bac.jpg
A;210;Água Quente;02/2026;29/01/2026;64,171;65,187;1,016;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943251/photo-8061d142.jpg
A;211;Água Quente;02/2026;29/01/2026;562,82;572,832;10,012;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943254/photo-1befafa5.jpg
A;212;Água Quente;02/2026;29/01/2026;305,809;305,81;0,001;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943257/photo-dbaf72ba.jpg
A;301;Água Quente;02/2026;29/01/2026;107,267;109,344;2,077;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943260/photo-cd3edcf7.jpg
A;302;Água Quente;02/2026;29/01/2026;420,764;429,412;8,648;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943263/photo-c8a5b3f2.jpg
A;303;Água Quente;02/2026;29/01/2026;165,178;171,543;6,365;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943266/photo-60964407.jpg
A;304;Água Quente;02/2026;29/01/2026;125,921;129,12;3,199;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943269/photo-0572cdb7.jpg
A;305;Água Quente;02/2026;29/01/2026;396,637;404,087;7,45;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943272/photo-e84ec1b6.jpg
A;306;Água Quente;02/2026;29/01/2026;410,872;417,389;6,517;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943275/photo-60403b01.jpg
A;307;Água Quente;02/2026;29/01/2026;55,221;55,222;0,001;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943278/photo-9e6f7ce8.jpg
A;308;Água Quente;02/2026;29/01/2026;84,796;85,798;1,002;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943281/photo-306ba312.jpg
A;309;Água Quente;02/2026;29/01/2026;134,444;139,884;5,44;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943284/photo-a0d625b4.jpg
A;310;Água Quente;02/2026;29/01/2026;365,644;365,644;0;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943287/photo-0fcf40f3.jpg
A;311;Água Quente;02/2026;29/01/2026;47,692;48,05;0,358;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943290/photo-32836539.jpg
A;312;Água Quente;02/2026;29/01/2026;77,848;80,188;2,34;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943293/photo-d7a55037.jpg
A;401;Água Quente;02/2026;29/01/2026;154,147;161,067;6,92;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943296/photo-f1dac0e7.jpg
A;402;Água Quente;02/2026;29/01/2026;293,883;298,479;4,596;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943299/photo-20d1dd93.jpg
A;403;Água Quente;02/2026;29/01/2026;115,654;118,837;3,183;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943302/photo-40468d96.jpg
A;404;Água Quente;02/2026;29/01/2026;0,728;0,728;0;0;0;0;Não;;;https://download.doctorcondo.com.br/uploads2/condos/280/monthly_measurement/photo/943305/photo-46bc3ed9.jpg
